,reaction,mean,stdev
0,HEX1,0.9773498486350062,0.8023553436033933
1,PGI,1.0282873321743076,0.3223656610915863
2,FBP,0.8905754890910564,0.7686670792708371
3,PFK,1.9188628212654142,0.9215550495596545
4,FBA,1.0282873321743076,0.3223656610915863
5,TPI,1.0282873321743076,0.3223656610915863
6,GAPD,2.056574664348615,0.6447313221831726
7,PGK,-2.056574664348615,0.6447313221831726
8,PGM,-2.056574664348615,0.6447313221831726
9,ENO,2.056574664348615,0.6447313221831726
10,PEPCKm,2.8538447320408262,1.6300915196675543
11,PYK,4.91041939638965,1.7548425104558036
12,PCm,2.8538447320408262,1.6300915196675543
13,LDH_L,-2.056574664348615,0.6447313221831726
14,PGMT,5.294876899053093,3.7166474888606054
15,GLPASE2,4.160313593151796,1.5093311120952622
16,GLDBRAN,4.160313593151763,1.5093311120952633
17,GLBRAN,0.6532785345820301,0.4582360779887414
18,GLPASE1,4.160313593151761,1.5093311120952633
19,GLGNS1,0.6532785345820301,0.4582360779887414
20,GGNG,0.6532785345820301,0.4582360779887414
21,GALUi,7.186063880402735,5.040596857876153
22,ADK1,0.35577368070769877,0.8039486686723764
23,ATPM,0.8611629780893916,0.7443798087416897
24,NADHM,0.0,0.0
25,G6PP,5.243939415513283,3.699389696214938
26,EX_glc__D,37.54909831209145,13.535423624971804
27,EX_h2o,-38.22161196355812,13.530420489376166
28,EX_h,1.700800983641103,0.8431000129779342
29,EX_pi,-4.6879928290698665,5.275742141911917
30,EX_lac__L,2.056574664348732,0.6447313221831662
31,EX_pyr,0.0,0.0
32,EX_co2,2.8538447320408262,1.6300915196675543
33,EX_hco3,-2.8538447320408262,1.6300915196675543
34,EX_gtp,-2.8538447320408262,1.6300915196675543
35,EX_amp,-0.3557736807077506,0.8039486686723857
36,EX_gdp,2.8538447320408262,1.6300915196675543
37,EX_adp,0.35577368070769877,0.8039486686723764
38,EX_glygn2,-3.5070350585696857,1.2310273071335398
39,EX_udp,7.186063880402735,5.040596857876153
40,EX_utp,-7.186063880402735,5.040596857876153
41,EX_ppi,7.186063880402735,5.040596857876153
42,EX_Tyr_ggn,3.5070350585698145,1.231027307133535
