,0,1,2,3
v1,0.0,0.0,1.0,0.5
v2,0.0,0.0,1.0,0.5
v3,0.0,0.0,1.0,0.5
v4,0.0,0.0,1.0,0.0
v5,0.0,0.0,0.0,0.5
v6,1.0,-0.5,0.0,0.0
v7,-1.0,0.5,0.0,0.5
v8,0.0,-0.5,0.0,0.0
v9,0.0,-0.5,0.0,0.0
v10,1.0,0.0,0.0,0.0
vA,0.0,0.0,1.0,0.5
vE,0.0,0.0,1.0,0.0
vH,-1.0,0.0,0.0,0.5
vJ,1.0,0.0,0.0,0.0
vatp,0.0,-0.5,0.0,0.0
vadp,0.0,0.5,0.0,0.0
vnadh,1.0,-1.0,0.0,-1.0
vnad,-1.0,1.0,0.0,1.0
